"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"TC";"TOLERANCE";"TPD";"VOLTAGE";
"1";"0";"R-US_0207/10";"0207/10";"R4";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"1";"0";"R-US_0207/12";"0207/12";"R7";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"17";"0.1uF";"C-US025-024X044";"C025-024X044";"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C18, C19";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";
"1";"1.07k";"R-US_0207/10";"0207/10";"R1";"RESISTOR, American symbol";"";"";"";"";"50ppm/°C";"1%";"";"";
"2";"10";"E4R";"SIL8";"RN1, RN2";"SIL RESISTOR";"";"";"unknown";"unknown";"";"";"";"";
"1";"100k";"R-US_0207/10";"0207/10";"R9";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"1";"10k";"G08R";"SIL9";"RN3";"SIL RESISTOR";"";"";"unknown";"unknown";"";"";"";"";
"6";"10k";"R-US_0207/10";"0207/10";"R2, R3, R5, R6, R10, R11";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"1";"1N4148";"1N4148DO35-7";"DO35-7";"D2";"DIODE";"";"";"";"";"";"";"";"";
"1";"1X2";"1X2";"1X2";"J1";"PIN HEADER";"";"";"";"";"";"";"";"";
"7";"1X2-THRU";"1X2-THRU";"1X2";"J2, JP1, JP2, JP3, JP4, JP5, JP6";"";"";"";"";"";"";"";"";"";
"1";"270";"R-US_0207/10";"0207/10";"R8";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"1";"32.768kHz";"CRYSTAL-3X8";"CRYSTAL-3X8N";"Y1";"";"";"";"";"";"";"";"";"";
"1";"33uF";"CPOL-USE2.5-6";"E2,5-6";"C17";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"6.3V";
"1";"56pF";"C-US025-024X044";"C025-024X044";"C16";"CAPACITOR, American symbol";"";"";"";"";"NP0";"5%";"";"";
"3";"74ABT245N";"74ABT245-SN";"DIL20";"U6, U8, U9";"Octal BUS TRANSCEIVER, 3-state";"";"";"";"";"";"";"7.2ns";"";
"1";"74AHCT123N";"74AHCT123N";"DIL16";"U1";"Retriggerable monostable MULTIVIBRATOR";"";"";"";"";"";"";"11ns";"";
"1";"74AHCT132N";"74AHCT132N";"DIL14";"U10";"Quad 2-input NAND schmitt trigger";"";"";"";"";"";"";"9ns";"";
"1";"74AHCT14N";"74AHCT14N";"DIL14";"U7";"Hex schmitt trigger INVERTER";"";"";"";"";"";"";"8ns";"";
"2";"74AHCT245N";"74AHCT245N";"DIL20";"U13, U14";"Octal BUS TRANSCEIVER, 3-state";"";"";"";"";"";"";"16.5ns";"";
"4";"74F138N";"74F138N";"DIL16";"U2, U3, U4, U5";"3-line to 8-line DECODER/DEMULTIPLEXER";"";"";"";"";"";"";"9ns";"";
"1";"74HCT74N";"74HCT74N";"DIL14";"U11";"Dual D type positive edge triggered FLIP FLOP, preset and clear";"";"";"";"";"";"";"50ns";"";
"1";"7805Z";"7805Z";"TO92";"U15";"";"";"";"";"";"";"";"";"";
"1";"CF-IDE";"CF-IDE";"CF-KYOCERA";"CF1";"";"";"";"";"";"";"";"";"";
"1";"CR2032";"CR2032TH";"BU2032";"BT1";"";"";"";"";"";"";"";"";"";
"1";"DS1685";"DS1685";"DIL24";"U12";"";"";"";"";"";"";"";"";"";
"1";"GREEN";"LED3MM-R";"LED-3R";"D1";"LEDOSRAM:- CHIPLEDLG R971, LG N971, LY N971, LG Q971, LY Q971, LO R971, LY R971LH N974, LH R974LS Q976, LO Q976, LY Q976LO Q996- Hyper CHIPLEDLW Q18SLB Q993, LB Q99A, LB R99A- SideLEDLS A670, LO A670, LY A670, LG A670, LP A670LB A673, LV A673, LT A673, LW A673LH A674LY A675LS A676, LA A676, LO A676, LY A676, LW A676LS A679, LY A679, LG A679-  Hyper Micro SIDELED®LS Y876, LA Y876, LO Y876, LY Y876LT Y87S- SmartLEDLW L88C, LW L88SLB L89C, LB L89S, LG L890LS L89K, LO L89K, LY L89KLS L896, LA L896, LO L896, LY L896- TOPLEDLS T670, LO T670, LY T670, LG T670, LP T670LSG T670, LSP T670, LSY T670, LOP T670, LYG T670LG T671, LOG T671, LSG T671LB T673, LV T673, LT T673, LW T673LH T674LS T676, LA T676, LO T676, LY T676, LB T676, LH T676, LSB T676, LW T676LB T67C, LV T67C, LT T67C, LS T67K, LO T67K, LY T67K, LW E67CLS E67B, LA E67B, LO E67B, LY E67B, LB E67C, LV E67C, LT E67CLW T67CLS T679, LY T679, LG T679LS T770, LO T770, LY T770, LG T770, LP T770LB T773, LV T773, LT T773, LW T773LH T774LS E675, LA E675, LY E675, LS T675LS T776, LA T776, LO T776, LY T776, LB T776LHGB T686LT T68C, LB T68C- Hyper Mini TOPLED®LB M676- Mini TOPLED Santana®LG M470LS M47K, LO M47K, LY M47KSource: http://www.osram.convergy.deLUXEON:- LUMILED®LXK2-PW12-R00, LXK2-PW12-S00, LXK2-PW14-U00, LXK2-PW14-V00LXK2-PM12-R00, LXK2-PM12-S00, LXK2-PM14-U00LXK2-PE12-Q00, LXK2-PE12-R00, LXK2-PE12-S00, LXK2-PE14-T00, LXK2-PE14-U00LXK2-PB12-K00, LXK2-PB12-L00, LXK2-PB12-M00, LXK2-PB14-N00, LXK2-PB14-P00, LXK2-PB14-Q00LXK2-PR12-L00, LXK2-PR12-M00, LXK2-PR14-Q00, LXK2-PR14-R00LXK2-PD12-Q00, LXK2-PD12-R00, LXK2-PD12-S00LXK2-PH12-R00, LXK2-PH12-S00LXK2-PL12-P00, LXK2-PL12-Q00, LXK2-PL12-R00Source: www.luxeon.comKINGBRIGHT:KA-3528ASYCSource: www.kingbright.com";"";"";"";"";"";"";"";"";
"4";"TP-040";"TP-040";"TP-040";"TP1, TP4, TP5, TP6";"Test Point";"";"";"";"";"";"";"";"";
"2";"VN2106";"VN2106";"TO92";"Q1, Q2";"";"";"";"";"";"";"";"";"";
"1";"XMICRO-BUS-EDGE";"XMICRO-BUS-EDGE";"EDGE62M";"P1";"XMICRO Bus";"";"";"";"";"";"";"";"";
